Durusdinium33176	potassium:proton antiporter activity
Durusdinium31590	Long chain fatty acyl-CoA synthetase
Durusdinium38822	peroxiredoxin activity
Durusdinium23611	ubiquitin-protein transferase activity
Durusdinium17235	regulation of proton-transporting ATPase activity, rotational mechanism
Durusdinium25009	Trypsin
Durusdinium22073	Alpha/beta hydrolase family
Durusdinium29739	N-acylsphingosine amidohydrolase activity
Durusdinium37587	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
Durusdinium23258	DnaJ molecular chaperone homology domain
Durusdinium25700	Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA
Durusdinium32286	Protein phosphatase methylesterase 1
Durusdinium52532	Belongs to the arginase family
Durusdinium17931	Belongs to the iron ascorbate-dependent oxidoreductase family
Durusdinium39694	Cyclic nucleotide-monophosphate binding domain
Durusdinium28291	polyketide synthase
Durusdinium35512	Beta-lactamase
Durusdinium6331	COG0457 FOG TPR repeat
Durusdinium54662	peptidyl-prolyl cis-trans isomerase activity
Durusdinium17572	DnaJ molecular chaperone homology domain
Durusdinium29445	Sodium potassium calcium exchanger
Durusdinium35105	peptide-methionine (R)-S-oxide reductase activity
Durusdinium33478	microtubule motor activity
Durusdinium33020	endonuclease activity
Durusdinium20585	-
Durusdinium32605	histone demethylase activity (H3-K36 specific)
Durusdinium30448	Adenylate and Guanylate cyclase catalytic domain
Durusdinium23290	YT521-B-like domain
Durusdinium25586	manganese ion binding
Durusdinium43652	COG2513 PEP phosphonomutase and related enzymes
Durusdinium30957	Interferon-inducible GTPase
Durusdinium48719	Pfam:Ribosomal_L18e
Durusdinium37303	Anthranilate synthase
Durusdinium1173	protein disulfide oxidoreductase activity
Durusdinium15681	3',5'-cyclic-nucleotide phosphodiesterase activity. It is involved in the biological process described with signal transduction
Durusdinium28425	Protein kinase, cGMP-dependent, type
Durusdinium20375	GTPase activity
Durusdinium35927	Peroxidase
Durusdinium9507	Pentapeptide repeats (9 copies)
Durusdinium1795	isocitrate dehydrogenase (NADP+) activity
Durusdinium26554	transporter
Durusdinium6000	Conserved mid region of cactin
Durusdinium511	Minichromosome maintenance 8 homologous recombination repair factor
Durusdinium30049	belongs to the protein kinase superfamily
Durusdinium18075	Calcium-dependent protein kinase
Durusdinium36699	Sugar fermentation stimulation protein
Durusdinium49081	AP-1 complex subunit
Durusdinium15611	Glycosyltransferase family-like protein
Durusdinium32486	Methyltransferase type 11
Durusdinium34326	protein serine/threonine phosphatase activity
Durusdinium29218	prostaglandin-F synthase activity
Durusdinium49120	Ketoacyl-synthetase C-terminal extension
Durusdinium52448	oxidation-reduction process
Durusdinium43380	Belongs to the aldehyde dehydrogenase family
Durusdinium8130	Protein kinase domain
Durusdinium46244	microtubule motor activity
Durusdinium37404	Formin Homology 2 Domain
Durusdinium26413	Cyclic nucleotide-monophosphate binding domain
Durusdinium8928	Heme oxygenase
Durusdinium56285	GTP binding. It is involved in the biological process described with small GTPase mediated signal transduction
Durusdinium20593	Encoded by
Durusdinium38393	PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6
Durusdinium42853	Belongs to the glutamyl-tRNA reductase family
Durusdinium11352	translation elongation factor activity
Durusdinium37514	Cold shock protein domain
Durusdinium33739	kinesin. Source PGD
Durusdinium1963	Mitogen-activated protein kinase kinase kinase
Durusdinium15670	Sulfotransferase
Durusdinium47317	[acyl-carrier-protein] S-malonyltransferase activity
Durusdinium43936	negative regulation of non-canonical Wnt signaling pathway
Durusdinium12236	pyrimidine nucleotide-sugar transmembrane transporter activity
Durusdinium4550	serine threonine-protein kinase
Durusdinium19939	Dynamin family
Durusdinium22942	PWI domain
Durusdinium34307	Calcium-dependent protein kinase
Durusdinium1843	PFAM Silent information regulator protein Sir2
Durusdinium42128	Belongs to the ubiquitin-conjugating enzyme family
Durusdinium1441	WD40 repeats
Durusdinium4716	EF-hand domain
Durusdinium1823	helicase activity
Durusdinium24693	Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily
Durusdinium28818	Differentially expressed in FDCP 8 homolog
Durusdinium30160	Leucine carboxyl methyltransferase
Durusdinium40795	reductase small
Durusdinium34296	antigen processing and presentation of exogenous peptide antigen via MHC class II
Durusdinium32893	DnaJ-class molecular chaperone with C-terminal Zn finger
Durusdinium22128	Sas10/Utp3/C1D family
Durusdinium35500	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Durusdinium32334	Glycosyl transferases group 1
Durusdinium35548	TIGRFAM channel protein, hemolysin III family
Durusdinium26327	dual specificity protein phosphatase
Durusdinium14387	Saccharomyces cerevisiae YMR244ca
Durusdinium44536	Transport protein particle (TRAPP) component
Durusdinium35329	Prolyl 4-hydroxylase alpha subunit homologues.
Durusdinium54910	WD domain, G-beta repeat
Durusdinium4850	Belongs to the MIP aquaporin (TC 1.A.8) family
Durusdinium33366	metal ion transport
Durusdinium15523	YIF1
Durusdinium24977	protein transport
Durusdinium1604	Calcium-dependent protein kinase
Durusdinium28391	sulfuric ester hydrolase activity
Durusdinium31756	oligosaccharyl transferase activity
Durusdinium39005	2OG-Fe(II) oxygenase superfamily
Durusdinium41423	Belongs to the TUB family
Durusdinium36634	Belongs to the glycosyl hydrolase 31 family
Durusdinium11823	50S ribosomal protein L4
Durusdinium40875	ABC transporter B family member
Durusdinium11647	Protein kinase domain
Durusdinium15052	FKBP-type peptidyl-prolyl cis-trans isomerase
Durusdinium44757	Protein of unknown function, DUF393
Durusdinium34061	Cold shock protein domain
Durusdinium43844	Lung seven transmembrane receptor
Durusdinium7841	MOSC domain-containing protein
Durusdinium19278	Chlorophyll A-B binding protein
Durusdinium39268	elongation factor-2 kinase activity
Durusdinium53388	ubiquitin-protein transferase activity
Durusdinium43754	Carbamoyltransferase
Durusdinium38601	photosystem II stabilization
Durusdinium5850	Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)
Durusdinium39181	Transporter, cation channel family protein
Durusdinium32670	Belongs to the universal ribosomal protein uS15 family
Durusdinium41271	Belongs to the AAA ATPase family
Durusdinium29004	ubiquitin-protein transferase activity
Durusdinium52281	Adenosine/AMP deaminase N-terminal
Durusdinium30576	Acid phosphatase homologues
Durusdinium327	homologous recombination
Durusdinium21828	Fucosyltransferase activity. It is involved in the biological process described with protein glycosylation
Durusdinium39865	Enoyl-(Acyl carrier protein) reductase
Durusdinium1244	exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay
Durusdinium42137	Elongation factor P (EF-P) OB domain
Durusdinium35535	Type I phosphodiesterase / nucleotide pyrophosphatase
Durusdinium30107	ubiquitin thioesterase
Durusdinium29246	Domain with 2 conserved Trp (W) residues
Durusdinium18682	Sucrose transport protein
Durusdinium41158	Chlorophyll A-B binding protein
Durusdinium522	Peptidyl-tRNA hydrolase PTH2
Durusdinium31129	lysyl-tRNA synthetase
Durusdinium27074	Interferon-inducible iron-sulfur (4FE-4S) cluster- binding antiviral protein which plays a major role in the cell antiviral state induced by type I and type II interferon. Can inhibit a wide range of viruses, including west Nile virus (WNV), dengue virus, sindbis virus, influenza A virus, sendai virus and vesicular stomatitis virus (VSV). Displays antiviral activity against influenza A virus by inhibiting the budding of the virus from the plasma membrane by disturbing the lipid rafts. This is accomplished, at least in part, through binding and inhibition of the enzyme farnesyl diphosphate synthase (FPPS), which is essential for the biosynthesis of isoprenoid-derived lipids. Promotes TLR7 and TLR9-dependent production of IFN-beta production in plasmacytoid dendritic cells (pDCs) by facilitating Lys-63'- linked ubiquitination of IRAK1. Plays a role in CD4 T-cell activation and differentiation. Facilitates T-cell receptor (TCR)- mediated GATA3 activation and optimal T-helper 2 (Th2) cytokine production by modulating NFKB1 and JUNB activities. Can inhibit secretion of soluble proteins (By similarity)
Durusdinium34900	DNA/RNA helicase activity
Durusdinium8298	isocitrate lyase activity
Durusdinium28371	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate
Durusdinium33406	photosynthetic electron transport in photosystem II
Durusdinium41102	D-alanine [D-alanyl carrier protein] ligase activity
Durusdinium9044	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
Durusdinium10505	protein serine/threonine kinase activity
Durusdinium39154	3-kinase, catalytic subunit delta
Durusdinium23624	-
Durusdinium34385	PFAM Taurine catabolism dioxygenase TauD TfdA
Durusdinium37684	UDP-N-acetylhexosamine pyrophosphorylase. Source PGD
Durusdinium22028	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A
Durusdinium54221	Pyruvate dehydrogenase kinase
Durusdinium26249	WD domain, G-beta repeat
Durusdinium49400	WD repeat domain 70
Durusdinium40564	ligase activity, forming nitrogen-metal bonds
Durusdinium16259	Atlastin GTPase 2
Durusdinium19921	Belongs to the NARF family
Durusdinium30175	L-ascorbic acid binding
Durusdinium24965	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Durusdinium29996	beta subunit
Durusdinium40586	HNH endonuclease
Durusdinium1879	Structural maintenance of chromosomes protein
Durusdinium54989	Nuclear movement
Durusdinium8840	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Durusdinium14773	Belongs to the ClpA ClpB family
Durusdinium46258	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Durusdinium7916	Belongs to the amidase family
Durusdinium22793	3',5'-cyclic-nucleotide phosphodiesterase activity
Durusdinium4646	Belongs to the CAP family
Durusdinium32444	regulation of chaperone-mediated protein complex assembly
Durusdinium40553	Helicase associated domain (Ha2) protein
Durusdinium39544	motor activity
Durusdinium35680	Glycosyl transferases group 1
Durusdinium27015	Transhydrogenase
Durusdinium26027	SpoU rRNA Methylase family
Durusdinium27834	Diaminopropionate ammonia-lyase
Durusdinium36786	Protein tyrosine kinase
Durusdinium34530	Glycosyl hydrolase family 1
Durusdinium37360	voltage-gated potassium channel activity
Durusdinium7633	DNA ligase
Durusdinium40122	G-protein coupled peptide receptor activity
Durusdinium36197	2-acylglycerol O-acyltransferase activity
Durusdinium40366	protein ubiquitination
Durusdinium32565	Arginase family
Durusdinium34171	atbpm1,bpm1
Durusdinium30039	calcium ion homeostasis
Durusdinium1813	Wall-associated receptor kinase C-terminal
Durusdinium26071	Q COG3321 Polyketide synthase modules and related proteins
Durusdinium35729	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase
Durusdinium37216	FMN-dependent dehydrogenase
Durusdinium5300	7SK snRNA binding
Durusdinium49413	DnaJ molecular chaperone homology domain
Durusdinium22973	Belongs to the eukaryotic ribosomal protein eL38 family
Durusdinium39809	Cytochrome b5-like Heme/Steroid binding domain
Durusdinium29520	FAD binding
Durusdinium1448	O-methyltransferase
Durusdinium51843	protein import into mitochondrial matrix
Durusdinium38478	Monodehydroascorbate reductase
Durusdinium40833	Photosystem I reaction center subunit III
Durusdinium40887	Belongs to the PEP-utilizing enzyme family
Durusdinium43978	voltage-gated potassium channel activity
Durusdinium31237	PRP38 family
Durusdinium28077	Protein of unknown function (DUF667)
Durusdinium39119	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
Durusdinium37832	Family of unknown function (DUF572)
Durusdinium21997	heterochromatin assembly
Durusdinium28064	D-lactate dehydrogenase, membrane binding
Durusdinium34439	Glycosyl hydrolases family 18
Durusdinium13061	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Durusdinium18628	Puromycin-sensitive aminopeptidase
Durusdinium7345	cornified envelope assembly
Durusdinium38067	ribosomal protein L5
Durusdinium19101	Aldolase/RraA
Durusdinium12589	diacylglycerol kinase activity
Durusdinium37856	interleukin-8 biosynthetic process
Durusdinium28121	phosphatidylserine catabolic process
Durusdinium14857	Serine hydrolase involved in the detoxification of formaldehyde
Durusdinium17457	alpha/beta hydrolase fold
Durusdinium46073	Thioredoxin
Durusdinium42572	protein folding
Durusdinium28610	COG1226 Kef-type K transport systems
Durusdinium10971	-
Durusdinium19088	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Durusdinium15509	ADP-ribosylation factor GTPase-activating
Durusdinium22578	HNH endonuclease
Durusdinium30592	Zinc-binding domain present in Lin-11, Isl-1, Mec-3.
Durusdinium8828	alpha-N-acetylglucosaminidase activity
Durusdinium35969	Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration
